Date,Portfolio,Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
2025-07-31,Original,Sector_Consumer_Cyclical,-8.89519042516588e-08,-0.00021194137096966948
2025-07-31,Original,Sector_Consumer_Defensive,2.368203163487952e-05,0.05642602363905941
2025-07-31,Original,Sector_Energy,-1.1105790629437972e-06,-0.002646122656403163
2025-07-31,Original,Sector_Financial_Services,-1.8324160555993124e-06,-0.004366008510754395
2025-07-31,Original,Sector_Healthcare,1.1913834855745847e-05,0.02838651419636046
2025-07-31,Original,Sector_Industrials,-1.2140359531690117e-06,-0.0028926243511679683
2025-07-31,Original,Sector_Real_Estate,4.28990666155225e-06,0.010221351716192702
2025-07-31,Original,Sector_Technology,-2.4516067636314487e-06,-0.0058413240608379
2025-07-31,Original,Sector_Utilities,8.726474999828159e-09,2.079214706819091e-05
2025-07-31,Original,Size,2.6581413765219457e-06,0.006333424026285076
2025-07-31,Original,Nonlinear_Size,-6.075868929688114e-07,-0.0014476677049509068
2025-07-31,Original,Momentum,1.4847527966954456e-06,0.0035376481923580115
2025-07-31,Original,Residual_Volatility,1.0507898361899983e-05,0.025036657771039177
2025-07-31,Original,Liquidity,-5.4086304610047e-07,-0.0012886880439687436
2025-07-31,Original,Book_to_Price,1.5484459496529328e-06,0.003689406766530851
2025-07-31,Original,Earnings_Yield,7.435045392352059e-07,0.0017715120625396094
2025-07-31,Original,Leverage,2.3883466603683774e-07,0.0005690597293085672
2025-07-31,Original,Dividend_Yield,3.52580540836689e-07,0.0008400764866229592
2025-07-31,Minimum_TE,Market,0.00024209235042552493,0.894272688658751
2025-07-31,Minimum_TE,Sector_Basic_Materials,2.1374562444997915e-08,7.895618094910818e-05
2025-07-31,Minimum_TE,Sector_Communication_Services,4.038163991230202e-07,0.001491670332967959
2025-07-31,Minimum_TE,Sector_Consumer_Cyclical,-2.0931074749020078e-07,-0.0007731796754181929
2025-07-31,Minimum_TE,Sector_Consumer_Defensive,6.223630121815923e-06,0.022989666680798625
2025-07-31,Minimum_TE,Sector_Energy,-1.1728393735162097e-07,-0.0004332388933709167
2025-07-31,Minimum_TE,Sector_Financial_Services,-6.09083456290554e-07,-0.0022499128911637424
2025-07-31,Minimum_TE,Sector_Healthcare,1.6957234497205914e-06,0.006263887173377785
2025-07-31,Minimum_TE,Sector_Industrials,-6.662177826769598e-07,-0.0024609632096990884
2025-07-31,Minimum_TE,Sector_Real_Estate,1.3307185894881195e-06,0.004915584027244222
2025-07-31,Minimum_TE,Sector_Technology,-1.5938671713300018e-06,-0.005887637003667661
2025-07-31,Minimum_TE,Sector_Utilities,2.6500340058747424e-06,0.009789045508068485
2025-07-31,Minimum_TE,Size,3.3066606531305146e-06,0.012214579715383485
2025-07-31,Minimum_TE,Nonlinear_Size,-1.0446510173738554e-06,-0.0038588698584443993
2025-07-31,Minimum_TE,Momentum,-1.5408013772677783e-08,-5.691615567019934e-05
2025-07-31,Minimum_TE,Residual_Volatility,1.0835991236227157e-06,0.004002741515818596
2025-07-31,Minimum_TE,Liquidity,8.417019003924301e-07,0.0031091896137572335
2025-07-31,Minimum_TE,Book_to_Price,1.2864328602586815e-09,4.751995553351463e-06
2025-07-31,Minimum_TE,Earnings_Yield,3.15994103603952e-07,0.0011672607421652089
2025-07-31,Minimum_TE,Leverage,3.713840024177735e-07,0.001371867263807496
2025-07-31,Minimum_TE,Dividend_Yield,-8.227612326949435e-09,-3.03922407458571e-05
2025-07-31,MVO,Market,0.0003274974075134777,0.7803121262142583
2025-07-31,MVO,Sector_Basic_Materials,4.137739826440264e-06,0.009858791207555265
2025-07-31,MVO,Sector_Communication_Services,-2.3831022079538834e-06,-0.005678101591683166
2025-07-31,MVO,Sector_Consumer_Cyclical,-2.057927134064593e-06,-0.004903322776715024
2025-07-31,MVO,Sector_Consumer_Defensive,2.7847448754700435e-05,0.06635076018587609
2025-07-31,MVO,Sector_Energy,-4.714696424967286e-06,-0.01123347760140539
2025-07-31,MVO,Sector_Financial_Services,-9.96424940052404e-06,-0.02374133186239675
2025-07-31,MVO,Sector_Healthcare,2.5468068718454884e-05,0.060681527231480514
2025-07-31,MVO,Sector_Industrials,-7.5892432846034136e-06,-0.01808252043498225
2025-07-31,MVO,Sector_Real_Estate,8.325637673801177e-06,0.01983709148923864
2025-07-31,MVO,Sector_Technology,-1.676024483954202e-05,-0.039933819280924744
2025-07-31,MVO,Sector_Utilities,7.678396787105352e-07,0.0018294942144286537
2025-07-31,MVO,Size,2.3657871965701e-06,0.005636845957170248
2025-07-31,MVO,Nonlinear_Size,-4.29105260400744e-07,-0.0010224082097481878
2025-07-31,MVO,Momentum,7.599368486960117e-07,0.0018106645261616134
2025-07-31,MVO,Residual_Volatility,1.6729476642521793e-05,0.039860509396065134
2025-07-31,MVO,Liquidity,-4.885183963253705e-07,-0.0011639689957415676
2025-07-31,MVO,Book_to_Price,6.725771115439525e-07,0.0016025167342135606
2025-07-31,MVO,Earnings_Yield,1.971579476083862e-06,0.004697586416527829
2025-07-31,MVO,Leverage,2.020367939087993e-07,0.0004813832311695448
2025-07-31,MVO,Dividend_Yield,-3.221867976024578e-07,-0.0007676587945661538
2025-08-31,Original,Market,0.00037770777202857846,0.8306547445825145
2025-08-31,Original,Sector_Basic_Materials,9.719896873043414e-08,0.00021375992373901602
2025-08-31,Original,Sector_Communication_Services,-6.135219620131537e-07,-0.0013492571940331682
2025-08-31,Original,Sector_Consumer_Cyclical,1.3481680837412426e-07,0.0002964890579931323
2025-08-31,Original,Sector_Consumer_Defensive,2.1942320746902065e-05,0.04825554088462462
2025-08-31,Original,Sector_Energy,-6.210467518964103e-07,-0.0013658057082057617
2025-08-31,Original,Sector_Financial_Services,-6.36728456465423e-07,-0.0014002929051025364
2025-08-31,Original,Sector_Healthcare,1.0426685940423898e-05,0.022930362539719182
2025-08-31,Original,Sector_Industrials,-7.646356481086648e-07,-0.00168158633741413
2025-08-31,Original,Sector_Real_Estate,4.1972805087237656e-06,0.009230657209381724
2025-08-31,Original,Sector_Technology,2.592980616447159e-07,0.0005702481683377588
2025-08-31,Original,Sector_Utilities,2.3732050984890108e-07,0.0005219151473478695
2025-08-31,Original,Size,4.3741627236492685e-06,0.009619656488562603
2025-08-31,Original,Nonlinear_Size,-1.693997709767387e-06,-0.0037254389216638253
2025-08-31,Original,Momentum,1.5786392048385727e-07,0.00034717425549398313
2025-08-31,Original,Residual_Volatility,1.526664970477506e-05,0.03357440844556183
2025-08-31,Original,Liquidity,3.0925064023517265e-07,0.0006801038543551339
2025-08-31,Original,Book_to_Price,2.7044698702514464e-08,5.947668794950945e-05
2025-08-31,Original,Earnings_Yield,2.4630637197689924e-06,0.005416768508751701
2025-08-31,Original,Leverage,8.110935111302094e-07,0.0017837564466886904
